# frequency (Hz) 	 Gain (V/nT) 	 Phase-Diff (radians)
2.452760662977700576e+03	1.122871905031691264e-01	6.055024417779369728e+00
1.362958896015886012e+03	1.618309728544818360e-01	2.971927333943217509e+00
7.573739175895009339e+02	1.725310874982779463e-01	1.643791423529574747e+00
4.208602715178153062e+02	1.788794469565790080e-01	9.309212242375572988e-01
2.338651543556993886e+02	1.826610648838982998e-01	5.282426257763357391e-01
1.299550328772239993e+02	1.847184724607845441e-01	3.015308127786469061e-01
7.221388161330746414e+01	1.857219811177424074e-01	1.794475445639900357e-01
4.012807031942776348e+01	1.868658199961953648e-01	9.234168136727360920e-02
2.229851091765992166e+01	1.878401767716579851e-01	5.250274161541756968e-02
1.239091701113450839e+01	1.886064856752976415e-01	3.034655297499999627e-02
6.885429477500509599e+00	1.880074186098446565e-01	1.932600611108825639e-02
3.826120298201570957e+00	1.877696173807509306e-01	1.099630025528064436e-02
2.126112333899655482e+00	1.882394057266685572e-01	5.080906475734836558e-04
1.181445773799894017e+00	1.877682493859915702e-01	-1.206866865647915343e-02
6.565100508445235183e-01	1.859375314022721493e-01	-3.649207866966519553e-02
3.648118740766510548e-01	1.818756480627879424e-01	-5.011409624748197622e-02
2.027199786143666360e-01	1.714713633685304439e-01	-1.149177943179351402e-01
1.126481692335885576e-01	1.657863531101440024e-01	-2.310378231389087489e-01
6.259674117181414366e-02	1.531672494118183347e-01	-1.704321475158128152e-01
3.478398301534719322e-02	1.464968393370814359e-01	-2.004141964980696300e-01
1.932888920033365085e-02	1.412687301964358766e-01	-2.691338933693314672e-01
1.074074689933969366e-02	1.311007152378376450e-01	-3.897530417376895429e-01
5.968456995122310531e-03	1.161445472360109060e-01	-5.067223581602768867e-01
3.316573720288886439e-03	9.214174511458680938e-02	-8.384527365558658296e-01
1.842965652780991599e-03	6.533696430382809894e-02	-1.024227295457788678e+00
1.024105804298122441e-03	5.525985031863401425e-02	-1.940654317235850357e+00
5.690788088288586954e-04	2.757443956667049098e-02	-3.820772980646717887e+00
