0-1,0-2,10-1,10-2,20-1,20-2,30-1,30-2,40-1,40-2,50-1,50-2,60-1,60-2,70-1,70-2,80-1,80-2,90-1,90-2,100-1,100-2,QUAD-1,QUAD-2
-8.8E+00,4.8E-02,-8.8E+00,6.4E-02,-8.8E+00,5.2E-02,-9E+00,4E-02,-8.8E+00,8E-03,-8.8E+00,2E-02,-9E+00,-2.8E-02,-8.8E+00,-5.6E-02,-8.8E+00,1.32E-01,-8.8E+00,-2E-02,-8.8E+00,7.6E-02,-9E+00,3.6E-02
-8.8E+00,4.4E-02,-9E+00,6.4E-02,-9E+00,4.4E-02,-9E+00,4.8E-02,-8.8E+00,8E-03,-8.8E+00,2E-02,-8.8E+00,-2.8E-02,-8.8E+00,-5.6E-02,-8.8E+00,1.32E-01,-8.8E+00,-2.4E-02,-8.8E+00,8.4E-02,-8.8E+00,4.8E-02
-8.8E+00,4.4E-02,-8.8E+00,6.8E-02,-8.8E+00,4.4E-02,-8.8E+00,5.2E-02,-8.8E+00,2E-02,-8.6E+00,2E-02,-8.8E+00,-3.6E-02,-8.8E+00,-6.4E-02,-8.8E+00,1.28E-01,-8.6E+00,-2.4E-02,-8.8E+00,8E-02,-9E+00,4.8E-02
-8.8E+00,4.4E-02,-8.8E+00,6.8E-02,-8.8E+00,4.8E-02,-9E+00,5.2E-02,-8.8E+00,2E-02,-9E+00,1.6E-02,-8.8E+00,-3.2E-02,-8.6E+00,-5.6E-02,-9E+00,1.28E-01,-8.8E+00,-3.2E-02,-8.8E+00,7.2E-02,-8.6E+00,4E-02
-8.8E+00,4.4E-02,-8.8E+00,6.8E-02,-8.8E+00,4.8E-02,-9E+00,4.8E-02,-8.8E+00,1.6E-02,-8.6E+00,2E-02,-8.8E+00,-2.8E-02,-8.8E+00,-5.2E-02,-9E+00,1.32E-01,-8.8E+00,-3.2E-02,-9E+00,8.4E-02,-8.8E+00,4.8E-02
-8.8E+00,4.4E-02,-9E+00,6.4E-02,-8.6E+00,5.2E-02,-8.8E+00,4.8E-02,-8.8E+00,1.2E-02,-8.8E+00,1.6E-02,-8.8E+00,-2.4E-02,-8.6E+00,-6E-02,-8.8E+00,1.36E-01,-8.6E+00,-3.2E-02,-8.8E+00,8.4E-02,-8.8E+00,5.2E-02
-8.8E+00,4E-02,-8.8E+00,6.4E-02,-8.8E+00,4.4E-02,-8.6E+00,4.8E-02,-8.8E+00,8E-03,-8.6E+00,2E-02,-8.6E+00,-3.2E-02,-8.6E+00,-6E-02,-8.8E+00,1.28E-01,-8.8E+00,-3.2E-02,-8.8E+00,8.4E-02,-8.8E+00,4.4E-02
-8.8E+00,4E-02,-8.6E+00,6.8E-02,-8.8E+00,4.4E-02,-9E+00,5.2E-02,-8.8E+00,8E-03,-8.6E+00,2.4E-02,-8.8E+00,-3.2E-02,-8.6E+00,-6E-02,-8.8E+00,1.28E-01,-8.8E+00,-3.2E-02,-8.8E+00,8E-02,-8.8E+00,4.4E-02
-8.8E+00,4.4E-02,-8.8E+00,6.8E-02,-8.6E+00,4.8E-02,-9E+00,5.2E-02,-8.8E+00,1.6E-02,-8.6E+00,2E-02,-8.8E+00,-3.2E-02,-8.8E+00,-5.6E-02,-8.6E+00,1.32E-01,-8.8E+00,-2.8E-02,-8.8E+00,8.4E-02,-8.8E+00,4.8E-02
-8.6E+00,4.4E-02,-8.8E+00,6.8E-02,-8.8E+00,5.2E-02,-8.8E+00,5.2E-02,-8.6E+00,2E-02,-8.8E+00,2.4E-02,-8.6E+00,-2.4E-02,-8.6E+00,-5.6E-02,-8.8E+00,1.36E-01,-9E+00,-2E-02,-8.6E+00,8.8E-02,-8.8E+00,5.2E-02
