t,z
0E+00,-6.559419E-02
3.333333E-02,-6.559419E-02
6.666667E-02,-6.559419E-02
1E-01,-6.559419E-02
1.333333E-01,-6.559419E-02
1.666667E-01,-6.559419E-02
2E-01,-6.559419E-02
2.333333E-01,-6.559419E-02
2.666667E-01,-6.559419E-02
3E-01,-4.927616E-02
3.333333E-01,-3.381697E-02
3.666667E-01,-1.685481E-02
4E-01,-2.469176E-03
4.333333E-01,5.904551E-03
4.666667E-01,1.384886E-02
5E-01,1.943134E-02
5.333333E-01,2.136374E-02
5.666667E-01,2.179316E-02
6E-01,1.943134E-02
6.333333E-01,1.449299E-02
6.666667E-01,8.481082E-03
7E-01,1.610332E-03
7.333333E-01,-3.542731E-03
7.666667E-01,-8.481082E-03
8E-01,-1.256059E-02
8.333333E-01,-1.363414E-02
8.666667E-01,-1.213117E-02
9E-01,-7.407528E-03
9.333333E-01,-2.469176E-03
9.666667E-01,1.073555E-04
1E+00,3.757442E-03
1.033333E+00,6.119262E-03
1.066667E+00,7.836949E-03
1.1E+00,7.622239E-03
1.133333E+00,7.192817E-03
1.166667E+00,5.260418E-03
1.2E+00,3.32802E-03
1.233333E+00,1.395621E-03
1.266667E+00,-5.367774E-04
1.3E+00,-4.186863E-03
1.333333E+00,-5.260418E-03
1.366667E+00,-5.904551E-03
1.4E+00,-5.68984E-03
1.433333E+00,-3.757442E-03
1.466667E+00,-9.661993E-04
1.5E+00,9.661993E-04
1.533333E+00,3.220664E-04
1.566667E+00,-1.073555E-04
1.6E+00,-5.367774E-04
1.633333E+00,-5.367774E-04
1.666667E+00,-5.367774E-04
1.7E+00,-5.367774E-04
1.733333E+00,-5.367774E-04
